Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge,HasCrCard,IsActiveMember,Geography_Spain,Geography_France,Geography_Germany,Gender_Female,Gender_Male
0,0.222,0.0945945945945946,0.6,0.0,0.3333333333333333,0.07611824189613323,0.0,0.43199999999999994,0.3231570996978852,1,1,1,-1,-1,1,-1
0,0.538,0.22972972972972974,0.4,0.3603579445343725,0.0,0.10237565420046711,0.0033168998059492113,0.2057142857142857,0.30521148036253776,1,1,-1,1,-1,1,-1
0,0.698,0.2972972972972973,0.8,0.4864060144897875,0.0,0.5102253644665915,0.0009014791452661197,0.36,0.30019826283987916,1,-1,-1,1,-1,1,-1
0,0.416,0.3108108108108108,0.2,0.4951298752413779,0.0,0.5557441753703719,0.0008425474920215891,0.08780487804878048,0.20823815488910175,1,1,-1,-1,1,-1,1
0,0.576,0.21621621621621623,0.5,0.532093966917006,0.0,0.7781445456310406,0.0006468130891757901,0.2647058823529412,0.33088235294117646,-1,1,-1,1,-1,-1,1
0,0.566,0.25675675675675674,0.7,0.5641587387133956,0.0,0.6240046830851114,0.0008550709191467848,0.34054054054054056,0.29146933943006453,1,1,-1,1,-1,-1,1
1,0.654,0.13513513513513514,0.0,0.5738903791575297,0.3333333333333333,0.043349252267644,0.012401057962063918,0.0,0.45968655589123864,1,-1,-1,-1,1,-1,1
0,0.902,0.32432432432432434,0.4,0.5657582726118003,0.0,0.052566749945635975,0.010099858376966527,0.1714285714285714,0.3381797583081571,1,1,1,-1,-1,-1,1
0,0.836,0.0945945945945946,0.0,0.31246184456804754,0.0,0.041150679474049365,0.007108742106960394,0.0,0.6153172205438067,1,1,-1,1,-1,-1,1
0,0.804,0.2702702702702703,0.0,0.581809092289224,0.3333333333333333,0.688356683643784,0.000799438265446676,0.0,0.35526315789473684,1,1,-1,1,-1,-1,1
0,0.408,0.2972972972972973,0.4,0.0,0.0,0.8438616122737089,0.0,0.18,0.21395392749244715,-1,1,-1,1,-1,-1,1
0,0.684,0.4189189189189189,0.9,0.0,0.3333333333333333,0.891697903992253,0.0,0.3306122448979592,0.22043590850237377,1,-1,1,-1,-1,1,-1
0,0.614,0.43243243243243246,0.9,0.0,0.3333333333333333,0.18549746348730864,0.0,0.32399999999999995,0.19706193353474322,-1,-1,-1,1,-1,-1,1
0,0.71,0.40540540540540543,0.0,0.0,0.3333333333333333,0.7487780662574302,0.0,0.0,0.2338793429003021,-1,-1,-1,1,-1,1,-1
1,0.358,0.6081081081081081,0.4,0.3831599913733899,0.6666666666666666,0.5434796408907726,0.0006667132924975701,0.11428571428571427,0.08421450151057404,1,-1,1,-1,-1,-1,1
1,0.57,0.47297297297297297,0.8,0.46634691400002287,0.0,0.6180840941337326,0.0007135874505648776,0.27169811320754716,0.16949068004332216,-1,1,-1,-1,1,-1,1
0,0.25,0.527027027027027,0.1,0.0,0.3333333333333333,0.4460122316684426,0.0,0.03157894736842105,0.08270392749244715,1,-1,-1,1,-1,1,-1
0,0.782,0.35135135135135137,0.7,0.0,0.3333333333333333,0.9526883142629446,0.0,0.2863636363636363,0.2851122631145289,1,1,-1,1,-1,1,-1
0,0.812,0.24324324324324326,0.2,0.5453036330408095,0.0,0.8501742425216384,0.0006067398004130368,0.09999999999999999,0.3840634441087613,1,1,-1,-1,1,-1,1
